category,headline,short_description,content
Sports,PETA Is Not Happy About This Photo Of Dez Bryant With A Baby Monkey,This is serious monkey business.,PETA Is Not Happy About This Photo Of Dez Bryant With A Baby Monkey This is serious monkey business.
Sports,Shaq Provides Surprise Backup In Kids' Basketball Game With Police,The NBA legend dropped in to the Gainesville Police Department after video of a prior match went viral.,Shaq Provides Surprise Backup In Kids' Basketball Game With Police The NBA legend dropped in to the Gainesville Police Department after video of a prior match went viral.
Entertainment,"In Real Life, The 'Girls' Would Not Make Rent",,"In Real Life, The 'Girls' Would Not Make Rent "
Tech,"North Star's Distance To Earth: Polaris Is Not So Close After All, New Study Suggests","Astronomers are lining up behind van Leeuwen. ""The claimed evidence given by Turner et al. seems to me to be quite uncertain","North Star's Distance To Earth: Polaris Is Not So Close After All, New Study Suggests Astronomers are lining up behind van Leeuwen. ""The claimed evidence given by Turner et al. seems to me to be quite uncertain"
Politics,Democrat Asks Judge To Block Trump Voter Fraud Probe From Deleting Or Moving Records,He's already suing the panel for access to documents from a commission on which he served.,Democrat Asks Judge To Block Trump Voter Fraud Probe From Deleting Or Moving Records He's already suing the panel for access to documents from a commission on which he served.
Entertainment,This Office Worker Got A 'Kinky' Surprise From Chris Hemsworth And Ellen DeGeneres,When can Ellen come to our office?,This Office Worker Got A 'Kinky' Surprise From Chris Hemsworth And Ellen DeGeneres When can Ellen come to our office?
Entertainment,Billie Eilish Reacts To Being Body-Shamed Over Bikini Pic: 'I Can't Win',The 18-year-old singer is hitting back at trolls who criticize what she chooses to wear.,Billie Eilish Reacts To Being Body-Shamed Over Bikini Pic: 'I Can't Win' The 18-year-old singer is hitting back at trolls who criticize what she chooses to wear.
Tech,Let's Talk About Vaccines And Science,"The results of the latest study about vaccines and autism are in, and they're not surprising.","Let's Talk About Vaccines And Science The results of the latest study about vaccines and autism are in, and they're not surprising."
Sports,5 Teams Not In Power 5 Conferences That Could Crash The College Football Playoff,,5 Teams Not In Power 5 Conferences That Could Crash The College Football Playoff 
Politics,Austria's Far-Right Narrowly Loses Cliffhanger Presidential Election,Independent candidate Alexander van der Bellen has won.,Austria's Far-Right Narrowly Loses Cliffhanger Presidential Election Independent candidate Alexander van der Bellen has won.
Business,Trader Betting On Securities He Made A Fortune Betting Against During Crisis,Some Wall Street investors made money as the mortgage market boomed; others profited when it fell apart. Having reaped big,Trader Betting On Securities He Made A Fortune Betting Against During Crisis Some Wall Street investors made money as the mortgage market boomed; others profited when it fell apart. Having reaped big
Politics,Bernie Sanders Struggles To Defend Reparations Stance To Black Voters,"""I know you're afraid to say black, and I know you're afraid to say reparations.""","Bernie Sanders Struggles To Defend Reparations Stance To Black Voters ""I know you're afraid to say black, and I know you're afraid to say reparations."""
Entertainment,Lil Nas X Recreates Steamy Shower Scene On Stage At 2021 MTV VMAs,"The singer brought his ""Industry Baby"" music video to life at the ceremony.","Lil Nas X Recreates Steamy Shower Scene On Stage At 2021 MTV VMAs The singer brought his ""Industry Baby"" music video to life at the ceremony."
